fipdate,exposed_aw,exposed_po,exposed_wd,date,fips
60072018-12-17,0,0,1,2018-12-17,6007
60072018-12-18,0,0,1,2018-12-18,6007
60072018-12-19,0,0,1,2018-12-19,6007
60072018-12-20,0,0,1,2018-12-20,6007
60072019-01-17,0,1,0,2019-01-17,6007
60072019-02-13,0,1,0,2019-02-13,6007
60072019-02-14,0,1,0,2019-02-14,6007
60072019-02-27,0,1,0,2019-02-27,6007
60072019-02-28,0,1,0,2019-02-28,6007
60072019-03-18,0,1,0,2019-03-18,6007
60072019-03-19,0,1,0,2019-03-19,6007
60072019-06-04,0,1,0,2019-06-04,6007
60072019-06-05,1,1,0,2019-06-05,6007
60072019-06-06,1,0,0,2019-06-06,6007
60072019-06-09,0,1,0,2019-06-09,6007
60072019-06-10,0,1,0,2019-06-10,6007
60072019-06-11,1,0,0,2019-06-11,6007
60072019-06-12,1,0,0,2019-06-12,6007
60072019-06-13,1,0,0,2019-06-13,6007
60072019-06-14,1,0,0,2019-06-14,6007
60072019-06-19,1,0,0,2019-06-19,6007
60072019-06-20,1,0,0,2019-06-20,6007
60072019-07-26,1,0,0,2019-07-26,6007
60072019-07-28,1,0,0,2019-07-28,6007
60072019-07-29,1,0,0,2019-07-29,6007
60072019-08-15,1,0,0,2019-08-15,6007
60072019-08-16,1,0,0,2019-08-16,6007
60072019-08-17,1,0,0,2019-08-17,6007
60072019-08-23,1,0,0,2019-08-23,6007
60072019-08-24,1,0,0,2019-08-24,6007
60072019-08-25,1,0,0,2019-08-25,6007
60072019-08-26,1,0,0,2019-08-26,6007
60072019-08-27,1,0,0,2019-08-27,6007
60072019-08-28,1,0,0,2019-08-28,6007
60072019-09-24,0,1,0,2019-09-24,6007
60072019-09-25,1,1,0,2019-09-25,6007
60072019-09-26,1,1,0,2019-09-26,6007
60072019-10-09,0,1,0,2019-10-09,6007
60072019-10-10,0,1,0,2019-10-10,6007
60072019-10-11,0,1,0,2019-10-11,6007
60072019-10-12,0,1,0,2019-10-12,6007
60072019-10-24,0,1,0,2019-10-24,6007
60072019-10-25,0,1,0,2019-10-25,6007
60072019-10-28,0,1,0,2019-10-28,6007
60072019-10-29,0,1,0,2019-10-29,6007
60072019-10-30,0,1,0,2019-10-30,6007
60072019-10-31,0,1,0,2019-10-31,6007
60072019-11-27,0,1,0,2019-11-27,6007
60072019-11-28,0,1,0,2019-11-28,6007
60092018-03-16,0,1,0,2018-03-16,6009
60092018-03-17,0,1,0,2018-03-17,6009
60092018-03-18,0,1,0,2018-03-18,6009
60092018-03-19,0,1,0,2018-03-19,6009
60092018-06-04,1,0,0,2018-06-04,6009
60092018-06-14,1,0,0,2018-06-14,6009
60092018-06-23,1,0,0,2018-06-23,6009
60092018-06-24,1,0,0,2018-06-24,6009
60092018-06-29,0,0,1,2018-06-29,6009
60092018-06-30,0,0,1,2018-06-30,6009
60092018-07-01,1,0,1,2018-07-01,6009
60092018-07-02,0,0,1,2018-07-02,6009
60092018-07-03,0,0,1,2018-07-03,6009
60092018-07-04,0,0,1,2018-07-04,6009
60092018-07-05,0,0,1,2018-07-05,6009
60092018-07-06,0,0,1,2018-07-06,6009
60092018-07-07,1,0,1,2018-07-07,6009
60092018-07-08,1,0,1,2018-07-08,6009
60092018-07-09,0,0,1,2018-07-09,6009
60092018-07-10,0,0,1,2018-07-10,6009
60092018-07-11,0,0,1,2018-07-11,6009
60092018-07-12,0,0,1,2018-07-12,6009
60092018-07-13,1,0,0,2018-07-13,6009
60092018-07-14,1,0,0,2018-07-14,6009
60092018-07-15,1,0,0,2018-07-15,6009
60092018-07-19,1,0,0,2018-07-19,6009
60092018-07-20,1,0,0,2018-07-20,6009
60092018-07-24,1,0,0,2018-07-24,6009
60092018-07-25,1,0,0,2018-07-25,6009
60092018-07-26,1,0,0,2018-07-26,6009
60092018-07-27,1,0,0,2018-07-27,6009
60092018-07-28,1,0,0,2018-07-28,6009
60092018-07-29,1,0,0,2018-07-29,6009
60092018-08-01,1,0,0,2018-08-01,6009
60092018-08-10,1,0,0,2018-08-10,6009
60092018-08-11,1,0,0,2018-08-11,6009
60092018-08-19,1,0,0,2018-08-19,6009
60092018-08-20,1,0,0,2018-08-20,6009
60092018-09-27,1,0,0,2018-09-27,6009
60092018-09-28,1,0,0,2018-09-28,6009
60092018-10-16,0,1,0,2018-10-16,6009
60092018-10-17,0,1,0,2018-10-17,6009
60092019-01-07,0,1,0,2019-01-07,6009
60092019-01-17,0,1,0,2019-01-17,6009
60092019-01-18,0,1,0,2019-01-18,6009
60092019-01-19,0,1,0,2019-01-19,6009
60092019-02-02,0,1,0,2019-02-02,6009
60092019-02-03,0,1,0,2019-02-03,6009
60092019-02-05,0,1,0,2019-02-05,6009
60092019-02-06,0,1,0,2019-02-06,6009
60092019-02-07,0,1,0,2019-02-07,6009
60092019-02-08,0,1,0,2019-02-08,6009
60092019-02-09,0,1,0,2019-02-09,6009
60092019-02-10,0,1,0,2019-02-10,6009
60092019-02-11,0,1,0,2019-02-11,6009
60092019-02-13,0,1,0,2019-02-13,6009
60092019-02-14,0,1,0,2019-02-14,6009
60092019-02-15,0,1,0,2019-02-15,6009
60092019-02-16,0,1,0,2019-02-16,6009
60092019-03-03,0,1,0,2019-03-03,6009
60092019-06-06,1,0,0,2019-06-06,6009
60092019-06-11,1,0,0,2019-06-11,6009
60092019-06-12,1,0,0,2019-06-12,6009
60092019-06-13,1,0,0,2019-06-13,6009
60092019-06-19,1,0,0,2019-06-19,6009
60092019-07-23,1,0,0,2019-07-23,6009
60092019-07-24,1,0,0,2019-07-24,6009
60092019-07-25,1,0,0,2019-07-25,6009
60092019-07-26,1,0,0,2019-07-26,6009
60092019-07-27,1,0,0,2019-07-27,6009
60092019-07-28,1,0,0,2019-07-28,6009
60092019-07-29,1,0,0,2019-07-29,6009
