fipdate,fips_wd,date_wd,exposed_wd
61052018-08-01,6105,2018-08-01,1
61052018-08-02,6105,2018-08-02,1
61052018-08-03,6105,2018-08-03,1
61052018-08-04,6105,2018-08-04,1
61052018-08-05,6105,2018-08-05,1
61052018-08-06,6105,2018-08-06,1
61052018-08-07,6105,2018-08-07,1
61052018-08-08,6105,2018-08-08,1
61052018-08-09,6105,2018-08-09,1
61052018-08-10,6105,2018-08-10,1
61052018-08-11,6105,2018-08-11,1
61052018-08-12,6105,2018-08-12,1
61052018-08-13,6105,2018-08-13,1
61052018-08-14,6105,2018-08-14,1
61052018-08-15,6105,2018-08-15,1
61052018-08-16,6105,2018-08-16,1
61052018-08-17,6105,2018-08-17,1
61052018-08-18,6105,2018-08-18,1
61052018-08-19,6105,2018-08-19,1
61052018-08-20,6105,2018-08-20,1
61052018-08-21,6105,2018-08-21,1
61052018-08-22,6105,2018-08-22,1
61052018-08-23,6105,2018-08-23,1
61052018-08-24,6105,2018-08-24,1
61052018-08-25,6105,2018-08-25,1
61052018-08-26,6105,2018-08-26,1
61052018-08-27,6105,2018-08-27,1
61052018-08-28,6105,2018-08-28,1
61052018-08-29,6105,2018-08-29,1
61052018-08-30,6105,2018-08-30,1
61052018-08-31,6105,2018-08-31,1
61052018-09-01,6105,2018-09-01,1
60832019-11-25,6083,2019-11-25,1
60832019-11-26,6083,2019-11-26,1
60832019-11-27,6083,2019-11-27,1
60832019-11-28,6083,2019-11-28,1
60832019-11-29,6083,2019-11-29,1
60832019-11-30,6083,2019-11-30,1
60832019-12-01,6083,2019-12-01,1
60832019-12-02,6083,2019-12-02,1
60832019-12-03,6083,2019-12-03,1
60832019-12-04,6083,2019-12-04,1
60832019-12-05,6083,2019-12-05,1
60832019-12-06,6083,2019-12-06,1
60832019-12-07,6083,2019-12-07,1
60832019-12-08,6083,2019-12-08,1
60832019-12-09,6083,2019-12-09,1
60832019-12-10,6083,2019-12-10,1
60832019-12-11,6083,2019-12-11,1
60832019-12-12,6083,2019-12-12,1
60832019-12-13,6083,2019-12-13,1
60852018-07-22,6085,2018-07-22,1
60852018-07-23,6085,2018-07-23,1
60852018-07-24,6085,2018-07-24,1
60552018-06-30,6055,2018-06-30,1
60552018-07-01,6055,2018-07-01,1
60552018-07-02,6055,2018-07-02,1
60552018-07-03,6055,2018-07-03,1
60552018-07-04,6055,2018-07-04,1
60552018-07-05,6055,2018-07-05,1
60552018-07-06,6055,2018-07-06,1
60552018-07-07,6055,2018-07-07,1
60552018-07-08,6055,2018-07-08,1
60552018-07-09,6055,2018-07-09,1
60552018-07-10,6055,2018-07-10,1
60552018-07-11,6055,2018-07-11,1
60552018-07-12,6055,2018-07-12,1
60552018-07-13,6055,2018-07-13,1
60552018-07-14,6055,2018-07-14,1
60952018-06-30,6095,2018-06-30,1
60952018-07-01,6095,2018-07-01,1
60952018-07-02,6095,2018-07-02,1
60952018-07-03,6095,2018-07-03,1
60952018-07-04,6095,2018-07-04,1
60952018-07-05,6095,2018-07-05,1
60952018-07-06,6095,2018-07-06,1
60952018-07-07,6095,2018-07-07,1
60952018-07-08,6095,2018-07-08,1
60952018-07-09,6095,2018-07-09,1
60952018-07-10,6095,2018-07-10,1
60952018-07-11,6095,2018-07-11,1
60952018-07-12,6095,2018-07-12,1
60952018-07-13,6095,2018-07-13,1
60952018-07-14,6095,2018-07-14,1
61132018-06-30,6113,2018-06-30,1
61132018-07-01,6113,2018-07-01,1
61132018-07-02,6113,2018-07-02,1
61132018-07-03,6113,2018-07-03,1
61132018-07-04,6113,2018-07-04,1
61132018-07-05,6113,2018-07-05,1
61132018-07-06,6113,2018-07-06,1
61132018-07-07,6113,2018-07-07,1
61132018-07-08,6113,2018-07-08,1
61132018-07-09,6113,2018-07-09,1
61132018-07-10,6113,2018-07-10,1
61132018-07-11,6113,2018-07-11,1
61132018-07-12,6113,2018-07-12,1
61132018-07-13,6113,2018-07-13,1
61132018-07-14,6113,2018-07-14,1
60652018-07-25,6065,2018-07-25,1
60652018-07-26,6065,2018-07-26,1
60652018-07-27,6065,2018-07-27,1
60652018-07-28,6065,2018-07-28,1
60652018-07-29,6065,2018-07-29,1
60652018-07-30,6065,2018-07-30,1
60652018-07-31,6065,2018-07-31,1
60652018-08-01,6065,2018-08-01,1
60652018-08-02,6065,2018-08-02,1
60652018-08-03,6065,2018-08-03,1
60652018-08-04,6065,2018-08-04,1
60652018-08-05,6065,2018-08-05,1
60652018-08-06,6065,2018-08-06,1
60652018-08-07,6065,2018-08-07,1
60652018-08-08,6065,2018-08-08,1
60652018-08-09,6065,2018-08-09,1
60892018-06-24,6089,2018-06-24,1
60892018-06-25,6089,2018-06-25,1
60892018-06-26,6089,2018-06-26,1
60892018-06-27,6089,2018-06-27,1
60892018-06-28,6089,2018-06-28,1
60892018-06-29,6089,2018-06-29,1
60892018-09-05,6089,2018-09-05,1
60892018-09-06,6089,2018-09-06,1
60892018-09-07,6089,2018-09-07,1
60892018-09-08,6089,2018-09-08,1
60892018-09-09,6089,2018-09-09,1
60892018-09-10,6089,2018-09-10,1
60892018-09-11,6089,2018-09-11,1
60892018-09-12,6089,2018-09-12,1
60892018-09-13,6089,2018-09-13,1
60892018-09-14,6089,2018-09-14,1
60892018-09-15,6089,2018-09-15,1
60892018-09-16,6089,2018-09-16,1
60892018-09-17,6089,2018-09-17,1
60892018-09-18,6089,2018-09-18,1
60892018-09-19,6089,2018-09-19,1
60892018-09-20,6089,2018-09-20,1
60892018-09-21,6089,2018-09-21,1
60892018-09-22,6089,2018-09-22,1
60892018-09-23,6089,2018-09-23,1
60892018-09-24,6089,2018-09-24,1
60892018-09-25,6089,2018-09-25,1
60892018-09-26,6089,2018-09-26,1
60892018-09-27,6089,2018-09-27,1
60892018-09-28,6089,2018-09-28,1
60892018-09-29,6089,2018-09-29,1
60892018-09-30,6089,2018-09-30,1
60892018-10-01,6089,2018-10-01,1
60892018-10-02,6089,2018-10-02,1
60892018-10-03,6089,2018-10-03,1
60892018-10-04,6089,2018-10-04,1
60892018-10-05,6089,2018-10-05,1
60892018-10-06,6089,2018-10-06,1
60892018-10-07,6089,2018-10-07,1
60892018-10-08,6089,2018-10-08,1
60892018-10-09,6089,2018-10-09,1
60892018-10-10,6089,2018-10-10,1
60892018-10-11,6089,2018-10-11,1
61052018-09-05,6105,2018-09-05,1
61052018-09-06,6105,2018-09-06,1
61052018-09-07,6105,2018-09-07,1
61052018-09-08,6105,2018-09-08,1
61052018-09-09,6105,2018-09-09,1
61052018-09-10,6105,2018-09-10,1
61052018-09-11,6105,2018-09-11,1
61052018-09-12,6105,2018-09-12,1
61052018-09-13,6105,2018-09-13,1
61052018-09-14,6105,2018-09-14,1
61052018-09-15,6105,2018-09-15,1
61052018-09-16,6105,2018-09-16,1
61052018-09-17,6105,2018-09-17,1
61052018-09-18,6105,2018-09-18,1
61052018-09-19,6105,2018-09-19,1
61052018-09-20,6105,2018-09-20,1
61052018-09-21,6105,2018-09-21,1
61052018-09-22,6105,2018-09-22,1
61052018-09-23,6105,2018-09-23,1
61052018-09-24,6105,2018-09-24,1
61052018-09-25,6105,2018-09-25,1
61052018-09-26,6105,2018-09-26,1
61052018-09-27,6105,2018-09-27,1
61052018-09-28,6105,2018-09-28,1
61052018-09-29,6105,2018-09-29,1
61052018-09-30,6105,2018-09-30,1
61052018-10-01,6105,2018-10-01,1
61052018-10-02,6105,2018-10-02,1
61052018-10-03,6105,2018-10-03,1
61052018-10-04,6105,2018-10-04,1
61052018-10-05,6105,2018-10-05,1
61052018-10-06,6105,2018-10-06,1
61052018-10-07,6105,2018-10-07,1
61052018-10-08,6105,2018-10-08,1
61052018-10-09,6105,2018-10-09,1
61052018-10-10,6105,2018-10-10,1
61052018-10-11,6105,2018-10-11,1
61112019-10-30,6111,2019-10-30,1
61112019-10-31,6111,2019-10-31,1
61112019-11-01,6111,2019-11-01,1
61112019-11-02,6111,2019-11-02,1
61112019-11-03,6111,2019-11-03,1
61112019-11-04,6111,2019-11-04,1
61112019-11-05,6111,2019-11-05,1
61112019-11-06,6111,2019-11-06,1
61112019-11-07,6111,2019-11-07,1
61112019-11-08,6111,2019-11-08,1
60432018-07-13,6043,2018-07-13,1
60432018-07-14,6043,2018-07-14,1
60432018-07-15,6043,2018-07-15,1
60432018-07-16,6043,2018-07-16,1
60432018-07-17,6043,2018-07-17,1
60432018-07-18,6043,2018-07-18,1
60432018-07-19,6043,2018-07-19,1
60432018-07-20,6043,2018-07-20,1
60432018-07-21,6043,2018-07-21,1
60432018-07-22,6043,2018-07-22,1
60432018-07-23,6043,2018-07-23,1
60432018-07-24,6043,2018-07-24,1
60432018-07-25,6043,2018-07-25,1
60432018-07-26,6043,2018-07-26,1
60432018-07-27,6043,2018-07-27,1
60432018-07-28,6043,2018-07-28,1
60432018-07-29,6043,2018-07-29,1
60432018-07-30,6043,2018-07-30,1
60432018-07-31,6043,2018-07-31,1
60432018-08-01,6043,2018-08-01,1
60432018-08-02,6043,2018-08-02,1
60432018-08-03,6043,2018-08-03,1
60432018-08-04,6043,2018-08-04,1
60432018-08-05,6043,2018-08-05,1
60432018-08-06,6043,2018-08-06,1
60432018-08-07,6043,2018-08-07,1
60432018-08-08,6043,2018-08-08,1
60432018-08-09,6043,2018-08-09,1
60432018-08-10,6043,2018-08-10,1
60432018-08-11,6043,2018-08-11,1
60432018-08-12,6043,2018-08-12,1
60432018-08-13,6043,2018-08-13,1
60432018-08-14,6043,2018-08-14,1
60432018-08-15,6043,2018-08-15,1
60432018-08-16,6043,2018-08-16,1
60432018-08-17,6043,2018-08-17,1
60432018-08-18,6043,2018-08-18,1
60432018-08-19,6043,2018-08-19,1
60432018-08-20,6043,2018-08-20,1
60432018-08-21,6043,2018-08-21,1
60432018-08-22,6043,2018-08-22,1
61092018-07-13,6109,2018-07-13,1
61092018-07-14,6109,2018-07-14,1
61092018-07-15,6109,2018-07-15,1
61092018-07-16,6109,2018-07-16,1
61092018-07-17,6109,2018-07-17,1
61092018-07-18,6109,2018-07-18,1
61092018-07-19,6109,2018-07-19,1
61092018-07-20,6109,2018-07-20,1
61092018-07-21,6109,2018-07-21,1
